id,field,issue,count,before,after
nyc_brooklyn_bridge,scene_anchor,LIGHTING_IN_SCENE_FIELD,1,"Brooklyn Bridge walkway at golden sunset, Manhattan skyline visible behind","Brooklyn Bridge walkway at golden sunset, Manhattan skyline visible behind"
athens_acropolis,scene_overrides.0,LIGHTING_IN_SCENE_FIELD,1,warm afternoon sidelight on white stone,warm afternoon sidelight on white stone
nyc_times_square,scene_overrides.3,LIGHTING_IN_SCENE_FIELD,1,"Times Square at blue hour, signs blazing","Times Square at blue hour, signs blazing"
london_big_ben,scene_overrides.0,LIGHTING_IN_SCENE_FIELD,1,warm afternoon sidelight on stonework,warm afternoon sidelight on stonework
beach_sunset,scene_anchor,LIGHTING_IN_SCENE_FIELD,1,"tropical beach at golden sunset, gentle waves","tropical beach at golden sunset, gentle waves"
rooftop_city,scene_overrides.0,LIGHTING_IN_SCENE_FIELD,1,rooftop terrace with city skyline at blue hour,rooftop terrace with city skyline at blue hour
restaurant,scene_anchor,LIGHTING_IN_SCENE_FIELD,1,"upscale restaurant, warm candlelight with clear interior details, dark wood and white linen, wine glass on table","upscale restaurant, warm candlelight with clear interior details, dark wood and white linen, wine glass on table"
in_car,scene_anchor,LIGHTING_IN_SCENE_FIELD,1,"interior of modern car, diffused window light streaming through windshield, leather steering wheel and dashboard visible","interior of modern car, diffused window light streaming through windshield, leather steering wheel and dashboard visible"
warm_outdoor,scene_anchor,LIGHTING_IN_SCENE_FIELD,1,"warm backlight with subtle rim light, natural green and water textures visible in background","warm backlight with subtle rim light, natural green and water textures visible in background"
tinder_pack_rooftop_golden,scene_anchor,LIGHTING_IN_SCENE_FIELD,2,"urban rooftop terrace, warm rim light on skyline, distant city lights clearly visible across skyline, romantic open-air atmosphere","urban rooftop terrace, warm rim light on skyline, distant city lights clearly visible across skyline, romantic open-air atmosphere"
corporate,base_scene,DOUBLED_WORD,1,"modern corner office, floor-to-ceiling windows with diffused diffused daylight, neutral beige wall, clean minimalist interior","modern corner office, floor-to-ceiling windows with diffused daylight, neutral beige wall, clean minimalist interior"
corporate,background.base,DOUBLED_WORD,1,"modern corner office, floor-to-ceiling windows with diffused diffused daylight, neutral beige wall, clean minimalist interior","modern corner office, floor-to-ceiling windows with diffused daylight, neutral beige wall, clean minimalist interior"
corporate,trigger_pool.0,DOUBLED_WORD,1,"modern corner office, floor-to-ceiling windows with diffused diffused daylight, neutral beige wall, clean minimalist interior","modern corner office, floor-to-ceiling windows with diffused daylight, neutral beige wall, clean minimalist interior"
corporate,scene_anchor,DOUBLED_WORD,1,"modern corner office, floor-to-ceiling windows with diffused diffused daylight, neutral beige wall, clean minimalist interior","modern corner office, floor-to-ceiling windows with diffused daylight, neutral beige wall, clean minimalist interior"
corporate,scene_anchor,LIGHTING_IN_SCENE_FIELD,1,"modern corner office, floor-to-ceiling windows with diffused daylight, neutral beige wall, clean minimalist interior","modern corner office, floor-to-ceiling windows with diffused daylight, neutral beige wall, clean minimalist interior"
glass_wall_pose,scene_anchor,LIGHTING_IN_SCENE_FIELD,1,"modern office with floor-to-ceiling glass wall, city panorama behind, clean architectural lines, natural daylight streaming in","modern office with floor-to-ceiling glass wall, city panorama behind, clean architectural lines, natural daylight streaming in"
video_call,scene_anchor,LIGHTING_IN_SCENE_FIELD,1,"clean home office interior, ring light or monitor glow on the subject, neat bookshelves visible behind","clean home office interior, ring light or monitor glow on the subject, neat bookshelves visible behind"
video_call,scene_overrides.0,LIGHTING_IN_SCENE_FIELD,1,clean home office with ring light and monitor,clean home office with ring light and monitor
decision_moment,scene_anchor,LIGHTING_IN_SCENE_FIELD,2,"standing at large window overlooking cityscape, contemplative atmosphere, warm rim light from window, cityscape in sharp focus through the window","standing at large window overlooking cityscape, contemplative atmosphere, warm rim light from window, cityscape in sharp focus through the window"
decision_moment,scene_overrides.2,LIGHTING_IN_SCENE_FIELD,1,executive window at blue hour,executive window at blue hour
tinder_top,scene_overrides.2,LIGHTING_IN_SCENE_FIELD,1,rooftop terrace at warm afternoon,rooftop terrace at warm afternoon
reading_home,scene_anchor,LIGHTING_IN_SCENE_FIELD,1,"cozy home corner with diffused window light, comfortable armchair, bookshelves behind","cozy home corner with diffused window light, comfortable armchair, bookshelves behind"
panoramic_window,scene_anchor,LIGHTING_IN_SCENE_FIELD,1,"standing before massive floor-to-ceiling window with dramatic city panorama, soft rim light from the window, face clearly lit from front, dramatic scale","standing before massive floor-to-ceiling window with dramatic city panorama, soft rim light from the window, face clearly lit from front, dramatic scale"
panoramic_window,scene_overrides.1,LIGHTING_IN_SCENE_FIELD,1,panoramic window at blue hour,panoramic window at blue hour
youtube_creator,scene_anchor,LIGHTING_IN_SCENE_FIELD,1,"modern content creator setup with ring light, camera on tripod, colorful backdrop or LED panels","modern content creator setup with ring light, camera on tripod, colorful backdrop or LED panels"
youtube_creator,scene_overrides.0,LIGHTING_IN_SCENE_FIELD,1,content creator setup with ring light,content creator setup with ring light
